	2817614	0.0	0.0	NEG	
اخر تعيس	0	0	0	NEG	NEG
متعب	6461	0.0499849084033	0.0234320379863	POS	NEG
رموطه	1970	-0.0568269012969	0.0686998362431	NEG	NEG
ترّف	23	0.0299902715137	0.027181776596	POS	POS
امعه	22112	0.0358710518851	0.0493335712181	NEG	NEG
ممكن	23801	0.0578744695898	0.030920767515	POS	Neutral
مش هتموت	2	0.0578744695898	0	POS	POS
جامد	14007	0.0349521325461	0.0440839704116	NEG	POS
قاتل	7995	0.00144263777124	0.0548381394896	NEG	NEG
خبؤ	104	0.0111542905129	0.0283761734564	NEG	NEG
ضلالي	288	0.0253629868923	0.027930154665	NEG	NEG
لطيف	5017	0.0553332507635	0.0148788553004	POS	POS
قدوس	505	0.0406519343679	0.0133917111814	POS	POS
اخر	133653	0.0519540555489	0.0622774495297	NEG	Neutral
وسخة	1200	0.0198289503604	0.0370994503531	NEG	NEG
اناني	2811	0.0199461771651	0.0361019416687	NEG	NEG
حنينه	462	0.0101736010571	0.0344448541486	NEG	POS
محترم	16308	0.0627333458085	0.0192471754934	POS	POS
فلانه عشان	7	0.0415626933533	0.010959830327	POS	Neutral
سياسي	20132	0.0187309453367	0.0522250705151	NEG	Neutral
وليه ناقصه	5	0.0430933838463	0.007401377948	POS	NEG
ارهابي اتفوووه عليكم	0	0	0	NEG	NEG
بتوع السيسي المعرص	1	0	0	NEG	NEG
بشري محترم	1	0	0	NEG	POS
مريضه	6375	0.0505328231905	0.0193905403436	POS	NEG
فقيه بلنتي لنصصصصصر	1	0	0.0193905403436	NEG	Neutral
اهبل	2186	0.00441188067063	0.0450141465809	NEG	NEG
بني قديم	9	0.0408182525232	0.0129863871561	POS	NEG
ام كس مدود	0	0	0	NEG	NEG
دماغه عالية	1	0	0	NEG	POS
حاجه	59865	0.0412203876246	0.0532904870175	NEG	Neutral
حاجه حلوه	165	0.0352732799146	0.0154879715111	POS	POS
فقيع	256	0.0113559567169	0.0313736608626	NEG	NEG
هايف	1031	0.0130771765215	0.0341274139551	NEG	NEG
بتاعت نمر	1	0	0.0341274139551	NEG	NEG
شمال	16125	0.0384357660755	0.046235472886	NEG	NEG
بتضرب	1082	0.00386557232593	0.0461301818928	NEG	NEG
حر	253403	0.0430228501922	0.0883683793922	NEG	POS
بلد	59436	0.0220222164597	0.0632086096468	NEG	Neutral
اتشحور	12	0.0148666143548	0.0347919795403	NEG	NEG
قرده	833	0.0147842018952	0.0363292135134	NEG	NEG
صوفي	2288	0.0372103360644	0.0273900789811	POS	NEG
فاضل بعيد	0	0	0	NEG	Neutral
تاعب نفسه	31	-0.00548755246515	0.0353833869821	NEG	POS
زنديق	716	-0.0251784580937	0.0511847316373	NEG	NEG
حاد	47413	0.0434706719093	0.0500644407051	NEG	NEG
نذل	3173	0.0232241772713	0.0381086270125	NEG	NEG
مش صحي	6	0.034245029494	0.0184410073351	POS	NEG
حاجه هييييييح	1	0.034245029494	0	POS	POS
اللي اسمك اسكندر	1	0	0	NEG	Neutral
برجوازي متسلق	1	0	0	NEG	NEG
طفران	1087	0.0369781503594	0.0195880291742	POS	NEG
رغاي	258	0.00817481459873	0.0360570121122	NEG	NEG
جدعان	3077	0.0153053279533	0.0422606820477	NEG	POS
متكبر	968	0.0132736344431	0.037240475967	NEG	NEG
بضان	2279	0.0147774245339	0.0437721495035	NEG	NEG
جاموسه	413	0.0184927582052	0.0346922111224	NEG	NEG
نجس	3561	0.00116379557309	0.0496631578025	NEG	NEG
غفور	4538	0.0871049371452	-0.027289269628	POS	POS
شكلها جدعه	7	0.0534673493454	-0.00847736915152	POS	POS
رومانسي طموح	2	0.0534673493454	0	POS	POS
نسخ	7824	0.051865319039	0.0253269285118	POS	NEG
لذيذه	2483	0.0651321140853	0.00394018513533	POS	POS
الناس ثوره	5	-0.0177100939057	0.0330687597549	NEG	Neutral
عبيط	3014	0.0219250301083	0.0380692699452	NEG	NEG
وسخ	17777	0.00564157151531	0.0634488427989	NEG	NEG
اسطوره	4920	0.0568919104766	0.013706090374	POS	POS
مميز	6276	0.0808410949371	-0.00518725988084	POS	POS
مُتعب	1043	0.0482760210091	0.0151565504743	POS	NEG
طلعتي كور"واطيا"	0	0	0	NEG	NEG
بيعجبنى	4	0.0332996796265	0.017931934804	POS	POS
مسكين	12591	0.0367327302317	0.0396604237429	NEG	NEG
بفكر راقي	32	0.0539344493208	-0.0432889559737	POS	POS
نضيف	1107	0.019851308287	0.0336814533025	NEG	POS
نفيس غالي	0	0	0	NEG	POS
عسليه	704	0.0518913604914	0.0078082317948	POS	POS
اغبيا	1743	0.00145834625413	0.0452837365691	NEG	NEG
ابن اكبر واطي	0	0	0	NEG	NEG
ابن وسخه	1911	-0.0148140588452	0.0530251698869	NEG	NEG
ناجح	3296	0.0456819451685	0.0142925011961	POS	POS
نعيمي	384	0.0357064202809	0.0171133092119	POS	NEG
قطري	3924	0.0318074796801	0.0353859103162	NEG	NEG
كنت بحبه	1	0.0318074796801	0	POS	POS
محترم وجاد	7	0.0467464796935	-0.0147789625151	POS	POS
ملخبط	1284	0.0490112794981	0.0118046017783	POS	NEG
زباله	2842	0.0173550603581	0.0418776713363	NEG	NEG
متربيه	190	0.0176163420305	0.0176749573552	NEG	POS
مز	76760	0.0523430001485	0.0545759899531	NEG	POS
خول	11176	0.0199940163639	0.0495521353611	NEG	NEG
كسمك	1134	0.00732878955252	0.0442269592736	NEG	NEG
كويسه	6160	0.0691856458013	0.00742311283258	POS	POS
وسخه	12266	0.00191841137041	0.0619014547005	NEG	NEG
ساداتي	187	0.0519255186282	0.0016279739333	POS	NEG
خفيفه	3834	0.0476414178504	0.0214071177942	POS	POS
لزيزه	471	0.0507393736506	0.00346169359372	POS	POS
سخيف	3278	0.0224981753003	0.0382656191768	NEG	NEG
حبيبتي متقوليش	0	0	0	NEG	Neutral
ملك ياسلام	0	0	0	NEG	POS
طيبان	142	0.0230373178175	0.0228549509475	POS	POS
اتفشخ	519	0.0153671896926	0.0317838640664	NEG	NEG
وسخه بضان	5	0	0.0317838640664	NEG	NEG
فاهماها غلط	6	0.00689037567102	0.0254337960386	NEG	NEG
دكتور قلب	12	0.0319090255502	0.0152988870212	POS	Neutral
جذمة	2	0	0.0152988870212	NEG	NEG
سخنه	801	0.0159092359945	0.0377043777287	NEG	NEG
موهوب وصوته	5	0.0430933838463	0.007401377948	POS	POS
عسل	11307	0.0686609232337	0.0127079320805	POS	POS
متدين	801	0.0147070073026	0.0280333990082	NEG	POS
شخصيه محترمه	24	0.0267384546811	0.0185097594317	POS	POS
ضب	30621	0.0250945148645	0.0576553865791	NEG	NEG
قميق	5	0	0.0576553865791	NEG	NEG
فنان	8217	0.0646812672655	0.0114251909306	POS	POS
مثقف ومحترم	0	0	0	NEG	POS
قطرائيلي	29	-0.0140374286384	0.0420503998584	NEG	NEG
رائع	16695	0.0940323294278	-0.00709064473002	POS	POS
حنين	18566	0.033416894878	0.0510674846487	NEG	POS
مستفز	1388	0.0125303227657	0.0381522664514	NEG	NEG
عبيط عبيط	2	0	0.0381522664514	NEG	Neutral
اجبن خلق الله	0	0	0	NEG	NEG
حبيبتي انجري	0	0	0	NEG	NEG
مشكوك فيه	450	0.040943923456	0.0163610292181	POS	NEG
ايمانك	528	0.0484036390612	0.00304713607077	POS	POS
جاهل	12445	0.0234171383876	0.0475536297053	NEG	NEG
حافي وجعان	0	0	0	NEG	NEG
متناك	1276	-0.0287333081452	0.058848864197	NEG	NEG
هذي غيره	43	0.0492751952856	-0.010871010117	POS	NEG
فلول	5541	-0.00879768311194	0.0527108107152	NEG	NEG
كويس	10696	0.0679707369841	0.0149309323961	POS	POS
لباس	7689	0.0553501307253	0.0233298294218	POS	NEG
تواب	1237	0.0467903448953	0.00867966590986	POS	POS
اللبوه	164	-0.000163725233913	0.0341979352997	NEG	NEG
مدفيني	45	0.0417153427678	-0.0108485317562	POS	POS
متعفن	383	-0.00741182070496	0.0496521014762	NEG	NEG
لواطي	621	0.00156827489412	0.0367087183416	NEG	NEG
حكيم	7270	0.0473529689266	0.0240858983123	POS	POS
قذر	5314	-0.0124036261218	0.0571759790167	NEG	NEG
جامده	4411	0.0323354194657	0.0374811159165	NEG	POS
شايف نفسه	1247	0.0333219025825	0.0227454926955	POS	NEG
شحات	1516	0.0283633474825	0.0300427509689	NEG	NEG
مبدع	9874	0.101592455663	-0.0287200528539	POS	POS
والله بشتم	0	0	0	NEG	NEG
قحبه	5321	-0.0653376144343	0.0752875260501	NEG	NEG
محترمه	1636	0.0390107841746	0.0246596658829	POS	POS
عاهه	1444	0.0310554038341	0.0294884906284	POS	NEG
صايعين	144	0.0337044180625	0.0169734240185	POS	NEG
شبه	16004	0.0386153569792	0.0428785946302	NEG	Neutral
اكيد	34969	0.0604626412253	0.033481119806	POS	Neutral
مؤلم	5188	0.0261646430981	0.0423702114443	NEG	NEG
مرح	18592	0.0594463733642	0.0269493139523	POS	POS
ديوس	198	0.00539878837832	0.0300197554092	NEG	NEG
متربي	776	0.0077952493551	0.0264469684206	NEG	POS
جميله	34508	0.0949106161008	0.00497312648066	POS	POS
جحلوط	38	0.0267744341571	0.0146739384956	POS	NEG
منحط	1038	-0.00460697590113	0.045235908609	NEG	NEG
وسم	17936	0.0490843969874	0.0310725156045	POS	Neutral
حلو	34739	0.0648007836979	0.0321620956341	POS	POS
عدائي	539	0.0266201006975	0.025817822252	POS	NEG
مؤدب	1217	0.0351370190108	0.0233760232914	POS	POS
كانت سيس	1	0	0.0233760232914	NEG	NEG
اديته اعذار	0	0	0	NEG	NEG
حكومه	20069	0.00578455281429	0.0586598217722	NEG	Neutral
ابيض	8010	0.0403142968578	0.0332782172232	POS	NEG
مقرف	2043	0.00905910818159	0.0456958139157	NEG	NEG
مخيف	1473	0.026947313005	0.0339886380952	NEG	NEG
محبوب	2752	0.0481054928763	0.0147409492663	POS	POS
مورد بلطجيه	0	0	0	NEG	NEG
فاسق	781	0.000202999904912	0.040198739239	NEG	NEG
عاقل ومحترم	0	0	0	NEG	POS
فيه حالات	118	0.0287426069902	0.0173805336827	POS	Neutral
قدير	10578	0.0848870505255	-0.0189219852891	POS	POS
طموح	8151	0.0572067403414	0.0194075849665	POS	POS
تاني	39734	0.0267599299218	0.0596792728191	NEG	Neutral
بهيمة	206	0.0352315737985	0.0103461622397	POS	NEG
جدعه و	198	0.0518390325385	-0.00187454977861	POS	POS
شرموطه	1951	-0.0567241949804	0.0685118176491	NEG	NEG
احبه	28274	0.0562034147673	0.0366084499305	POS	POS
بجحه	287	0.015055551581	0.0269788758831	NEG	NEG
مسليني	200	0.0606021806136	-0.00158681960342	POS	POS
فلقتين	57	0.0239711140606	0.0114364137663	POS	NEG
هتموت	348	0.0153316490409	0.0302686755277	NEG	NEG
ابن	83102	0.0382750021659	0.0599992272869	NEG	Neutral
متخلف	4315	0.0162741613334	0.0438984556454	NEG	NEG
مجيد	3639	0.0565864277319	0.0137288670704	POS	POS
عصبيه	1256	0.0207550444061	0.0353003515519	NEG	NEG
عمتي مريضه	3	0.046875928649	-0.00114851303835	POS	NEG
وطنيه	6766	0.0281878174058	0.0377156149395	NEG	POS
متخوبق	0	0	0	NEG	NEG
غلابة	39	0.0345353001454	0.0074836693961	POS	NEG
وثوري بحترمك	0	0	0	NEG	POS
حلوه	9483	0.0628290274394	0.0188031410927	POS	POS
خطير	3539	0.0141359324889	0.0440828420442	NEG	NEG
غبي	11403	0.0188359768795	0.0486009555581	NEG	NEG
يشل جيش	1	0	0.0486009555581	NEG	NEG
اداؤه عجبني	0	0	0	NEG	POS
الله	606192	0.139859025839	0.0394354089864	POS	POS
برنس	2192	0.0529150325039	0.0125391260709	POS	POS
اسمر انت حبيبي	0	0	0	NEG	POS
قويه	15260	0.0516976494982	0.032302480682	POS	POS
ارهابي	7853	-0.000780438125719	0.0585151163724	NEG	NEG
ارهابى	458	0.020536959586	0.0298738043076	NEG	NEG
كيوت	12279	0.0722874236457	0.013402876854	POS	POS
خيال	10432	0.043974252511	0.0322557741729	POS	POS
منطقي	1776	0.0276454289357	0.0286482403924	NEG	POS
صحرا	3541	0.0267226984356	0.039444792867	NEG	Neutral
بنتش كلب	11	0.0263387082594	0.0193816285101	POS	NEG
رحمن	16098	0.0677190025602	0.0146049319332	POS	POS
متخلفين بيتفرجوا	0	0	0	NEG	NEG
بيبقي ارقي	0	0	0	NEG	POS
بتحبنا	124	0.0407035065957	0.00827906011397	POS	POS
علق	22674	0.0416729518689	0.0439347220207	NEG	NEG
جبان	2630	-0.00557961554165	0.046543210002	NEG	NEG
شبه امي	26	0.038385101844	0.0121379812987	POS	Neutral
عظيم	21044	0.0670943885858	0.0173511163548	POS	POS
محارب	3685	0.0355797707918	0.0264974315043	POS	POS
بارد	17123	0.0630576950514	0.0265180055309	POS	NEG
يفرقش عنهم	3	0.0135266821822	0.0315081838265	NEG	NEG
حاجات	14683	0.0541500891316	0.030694379327	POS	Neutral
صعيديه الجدعه	0	0	0	NEG	POS
راعبكم	0	0	0	NEG	NEG
اولاد الوسخه	258	0.000149695872567	0.0400652736115	NEG	NEG
اخد افوره	1	0.000149695872567	0	POS	Neutral
لقيط	761	0.0238478038864	0.029764373568	NEG	NEG
بحبك	3103	0.0662490814032	0.00136525624408	POS	POS
حشره	1091	0.00853956840654	0.0431450238717	NEG	NEG
شبه فلان	5	-0.0177100939057	0.0330687597549	NEG	Neutral
حشري	707	0.0270504033911	0.0268513746879	POS	NEG
ومزاج تاني	1	0	0.0268513746879	NEG	Neutral
نقي	10081	0.0605707033067	0.0184661357557	POS	POS
أسطورة	98	0.033516880627	0.0189859910302	POS	POS
طويطر مجنون	0	0	0	NEG	NEG
محروقه	880	0.0297086273225	0.0289206220491	POS	NEG
ااخر تعيس	0	0	0	NEG	NEG
اغبيه	673	0.0103046522111	0.036156384759	NEG	NEG
جامدين	1120	0.033310467956	0.0281873069277	POS	POS
في الخيانه	70	0.00897201549049	0.0369520785747	NEG	NEG
بتاع سموحه	2	0.0317990248371	0.0171238296165	POS	Neutral
ارهابيين	2924	-0.00225923318551	0.052145718668	NEG	NEG
مبادئ غريبه	3	0.046875928649	-0.00114851303835	POS	NEG
وراه سر	56	0.0159800847349	0.0275245700268	NEG	Neutral
ايممممانك	2	0.0159800847349	0	POS	POS
ابن الخروفه	0	0	0	NEG	NEG
خدمت البلد	47	-0.0696157760243	0.0553170176914	NEG	POS
شخصي	27386	0.0471276059457	0.0363479480556	POS	Neutral
نعجه	1518	0.00250446549305	0.0450524293406	NEG	NEG
مهمه	8162	0.0516979058422	0.0254436554264	POS	POS
محنكه	159	0.0471562861239	0.00595607015864	POS	POS
جسمها جامد	46	-0.0102675491512	0.0374830051007	NEG	POS
عيلتة	1	-0.0102675491512	0	NEG	Neutral
ضحكته جامده	2	0	0	NEG	POS
بجح	999	0.00294303385384	0.0395277830876	NEG	NEG
الكلب دي	112	0.00117119444258	0.0357148307981	NEG	NEG
لاسع	3571	0.032094070877	0.0362929615101	NEG	NEG
فرفوور	11	0.0185800336473	0.0115188588168	POS	NEG
ذكي	7192	0.0461738093796	0.0280311062714	POS	POS
روقني	362	0.050683953778	0.00016576958113	POS	POS
نجم	9542	0.055548848799	0.0235087696453	POS	POS
مفيد	4143	0.0592660749771	0.0151317260174	POS	POS
محترم بحترمك	1	0	0.0151317260174	NEG	POS
مفيش ابداع	1	0	0	NEG	NEG
رزل	327	0.0123426428858	0.0338280889551	NEG	NEG
شخصيه بضان	3	-0.00949374706728	0.007401377948	NEG	NEG
بيسامحك	9	-0.0185458659892	0.0275569931276	NEG	POS
ممل	13002	0.0472095579739	0.0334205761384	POS	NEG
خروف	8428	0.0381812441407	0.0344247611894	POS	NEG
شرومطه	0	0	0	NEG	NEG
مريض	11783	0.0482962022672	0.0268227897982	POS	NEG
صوص	14977	0.0347721839094	0.0414698696328	NEG	Neutral
ابو وشين	22	-0.00722638772559	0.0282302398448	NEG	NEG
كان بيهلفط	1	-0.00722638772559	0	NEG	NEG
عميل	2950	-0.00267352564025	0.0474050742159	NEG	NEG
مؤذي	921	0.0267389980131	0.0331011472713	NEG	NEG
عزيز	23992	0.0619861912979	0.0243976815065	POS	POS
واولاد خشب	1	0.0619861912979	0	POS	Neutral
منحرف	1389	0.0323869642229	0.0280647603384	POS	NEG
شيعي	8671	0.0113269356517	0.0507607111017	NEG	NEG
رب	527587	0.0936283266815	0.0803875856642	POS	POS
جااامد	327	0.0334580546773	0.0205187236172	POS	POS
سرسجي	94	-0.0305676375544	0.0441660504136	NEG	NEG
رجعي	4099	0.0362922406525	0.028324316498	POS	NEG
